bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
170318261005,623,417,59.9000015259,40.0999984741
170318261006,106,1111,8.71000003815,91.2900009155
170318262011,532,124,81.0999984741,18.8999996185
170318262012,439,760,36.6100006104,63.3899993896
170318262013,432,27,94.1200027466,5.88000011444
170318262014,11,1236,0.879999995232,99.1200027466
170318262021,1294,356,78.4199981689,21.5799999237
170318262022,390,388,50.1300010681,49.8699989319
170318262023,921,513,64.2300033569,35.7700004578
170318262024,287,319,47.3600006104,52.6399993896
170318262025,380,1028,26.9899997711,73.0100021362
170318263011,1236,203,85.8899993896,14.1099996567
170318263012,1046,297,77.8899993896,22.1100006104
170318263013,696,501,58.1500015259,41.8499984741
170318263031,574,428,57.2900009155,42.7099990845
170318263032,500,376,57.0800018311,42.9199981689
170318263033,1008,84,92.3099975586,7.69000005722
170318263034,1170,21,98.2399978638,1.75999999046
170318263041,899,89,90.9899978638,9.01000022888
170318263042,836,15,98.2399978638,1.75999999046
170318263043,728,635,53.4099998474,46.5900001526
170318264011,1898,98,95.0899963379,4.90999984741
170318264012,1010,1051,49.0099983215,50.9900016785
170318264021,797,138,85.2399978638,14.7600002289
170318264022,837,62,93.0999984741,6.90000009537
170318264023,1025,352,74.4400024414,25.5599994659
170318264024,1056,37,96.6100006104,3.3900001049
170318264025,706,103,87.2699966431,12.7299995422
170318265001,166,1706,8.86999988556,91.1299972534
170318265002,567,322,63.7799987793,36.2200012207
170318265003,1104,523,67.8499984741,32.1500015259
170318265004,1304,265,83.1100006104,16.8899993896
170318266001,326,840,27.9599990845,72.0400009155
170318266002,439,702,38.4799995422,61.5200004578
170318266003,867,841,50.7599983215,49.2400016785
170318266004,815,30,96.4499969482,3.54999995232
170318266005,573,127,81.8600006104,18.1399993896
170318267001,1520,138,91.6800003052,8.31999969482
170318267002,1825,12,99.3499984741,0.649999976158
170318267003,933,8,99.1500015259,0.850000023842
170318267004,1006,75,93.0599975586,6.94000005722
170318268001,244,911,21.1299991608,78.8700027466
170318268002,657,1504,30.3999996185,69.5999984741
170318268003,327,891,26.8500003815,73.1500015259
170318268004,769,174,81.5500030518,18.4500007629
170318269011,1793,109,94.2699966431,5.73000001907
170318269021,520,25,95.4100036621,4.59000015259
170318269022,930,180,83.7799987793,16.2199993134
170318270001,1406,23,98.3899993896,1.61000001431
170318270002,967,118,89.1200027466,10.8800001144
170318270003,642,445,59.0600013733,40.9399986267
170318271001,818,33,96.1200027466,3.88000011444
170318271002,893,71,92.6299972534,7.36999988556
170318271003,851,33,96.2699966431,3.73000001907
170318272001,1209,359,77.0999984741,22.8999996185
170318272002,821,0,100.0,0.0
170318272003,892,7,99.2200012207,0.77999997139
170318272004,404,444,47.6399993896,52.3600006104
170318273001,123,331,27.0900001526,72.9100036621
170318273002,327,923,26.1599998474,73.8399963379
170318273003,288,975,22.7999992371,77.1999969482
170318274001,210,554,27.4899997711,72.5100021362
170318274002,1060,250,80.9199981689,19.0799999237
170318274003,656,164,80.0,20.0
170318274004,1009,412,71.0100021362,28.9899997711
170318275001,1102,299,78.6600036621,21.3400001526
170318275002,2517,97,96.2900009155,3.71000003815
170318275003,1266,102,92.5400009155,7.46000003815
170318276001,607,277,68.6699981689,31.3299999237
170318276002,1116,684,62.0,38.0
170318276003,519,262,66.4499969482,33.5499992371
170318277001,1627,138,92.1800003052,7.82000017166
170318277002,1106,12,98.9300003052,1.07000005245
170318278011,718,148,82.9100036621,17.0900001526
170318278012,678,7,98.9800033569,1.01999998093
170318278013,1313,99,92.9899978638,7.01000022888
170318278014,1712,315,84.4599990845,15.5399999619
170318278021,1387,205,87.1200027466,12.8800001144
170318278022,1686,81,95.4199981689,4.57999992371
170318278041,1130,198,85.0899963379,14.9099998474
170318278042,228,613,27.1100006104,72.8899993896
170318278043,705,410,63.2299995422,36.7700004578
170318278051,954,83,92.0,8.0
170318278052,1025,132,88.5899963379,11.4099998474
170318278053,267,421,38.8100013733,61.1899986267
170318279011,566,329,63.2400016785,36.7599983215
170318279012,1399,349,80.0299987793,19.9699993134
170318279021,380,218,63.5499992371,36.4500007629
170318279022,46,1292,3.44000005722,96.5599975586
170318279023,148,450,24.75,75.25
170318279024,533,542,49.5800018311,50.4199981689
170318279025,758,172,81.5100021362,18.4899997711
170318280001,979,191,83.6800003052,16.3199996948
170318280002,982,30,97.0400009155,2.96000003815
170318280003,1318,247,84.2200012207,15.779999733
170318280004,287,1132,20.2299995422,79.7699966431
170318281001,106,767,12.1400003433,87.8600006104
170318281002,729,652,52.7900009155,47.2099990845
170318281003,847,52,94.2200012207,5.78000020981
170318281004,657,283,69.8899993896,30.1100006104
170318281005,266,465,36.3899993896,63.6100006104
170318282011,1453,900,61.75,38.25
170318282012,809,67,92.3499984741,7.65000009537
170318282013,996,96,91.2099990845,8.78999996185
170318282021,691,544,55.9500007629,44.0499992371
170318282022,612,548,52.7599983215,47.2400016785
170318282023,441,809,35.2799987793,64.7200012207
170318282024,729,208,77.8000030518,22.2000007629
170318283001,1425,348,80.3700027466,19.6299991608
170318283002,356,1133,23.9099998474,76.0899963379
170318284011,400,434,47.9599990845,52.0400009155
170318284012,942,108,89.7099990845,10.2899999619
170318284013,35,699,4.76999998093,95.2300033569
170318284014,990,56,94.6500015259,5.34999990463
170318284021,217,996,17.8899993896,82.1100006104
170318284022,816,762,51.7099990845,48.2900009155
170318284023,815,230,77.9899978638,22.0100002289
170318285031,231,1019,18.4799995422,81.5199966431
170318285032,1329,269,83.1699981689,16.8299999237
170318285033,761,58,92.9199981689,7.07999992371
170318285034,964,16,98.3700027466,1.62999999523
170318285041,182,2237,7.51999998093,92.4800033569
170318285042,0,1276,0.0,100.0
170318285043,22,868,2.47000002861,97.5299987793
170318285044,75,1330,5.34000015259,94.6600036621
170318285051,1025,16,98.4599990845,1.53999996185
170318285052,530,393,57.4199981689,42.5800018311
170318285053,707,90,88.7099990845,11.2899999619
170318285054,1121,60,94.9199981689,5.07999992371
170318285055,1427,1096,56.5600013733,43.4399986267
170318285061,2296,610,79.0100021362,20.9899997711
170318285062,330,861,27.7099990845,72.2900009155
170318285063,1574,92,94.4800033569,5.51999998093
170318285064,53,712,6.92999982834,93.0699996948
170318285065,13,812,1.58000004292,98.4199981689
170318285066,75,1171,6.01999998093,93.9800033569
